Sl no,District,Month,No. of Female patient (Indoor admission),No. of Child patient (Indoor admission),No. of BCC,BCC performed by SACMO,"Counseling on IYCF, IFA, Vitamin-A & Hand washing",Received IFA (Pregnant & Child mother),Received MNP Sachet (6-23 months),Breast feeding within 1-hour of birth (0-<6 months child),Exclusive Breast feeding up to 6 months,Complimentary feeding after 6 months,Feeding Tablet Vitamin A (6-59months Child),Received Tablet anti-helminthics (24-59months Child),Feeding Zink pill with ORS suffering form diarrhoea,Identifying Suffering from MAM,Suffering from SAM & Referred,Identifying Child Stunting,Identifying Child Wasting,Identifying Child Under weight
Netrokona DistrictMarch 2017,Netrokona District,March 2017,54,112,127,39,1498,5278,52,1589,2152,3258,167,1506,187,100,25,68,63,78
Mymensingh DivisionMarch 2017,Mymensingh Division,March 2017,407,311,836,487,8135,19069,1024,5893,5991,13014,509,4426,612,421,357,455,352,537
Jamalpur DistrictApril 2017,Jamalpur District,April 2017,301,206,421,138,2484,4991,941,2364,2970,7160,145,723,389,132,185,118,101,147
Sherpur DistrictApril 2017,Sherpur District,April 2017,0,0,43,57,706,1566,33,648,858,956,334,517,23,10,2,14,4,10
Mymensingh DistrictApril 2017,Mymensingh District,April 2017,66,9,363,339,3523,7639,96,895,1091,2499,144,1601,251,103,40,165,180,275
Netrokona DistrictApril 2017,Netrokona District,April 2017,234,0,124,56,1750,7088,10,1419,1948,2976,72,876,103,143,47,101,119,125
Mymensingh DivisionApril 2017,Mymensingh Division,April 2017,601,215,951,590,8463,21284,1080,5326,6867,13591,695,3717,766,388,274,398,404,557
Jamalpur DistrictMay 2017,Jamalpur District,May 2017,190,191,251,139,2711,3896,747,2318,3045,8541,19,678,353,164,309,117,70,145
Sherpur DistrictMay 2017,Sherpur District,May 2017,0,0,12,4,647,2044,124,740,690,907,88,225,87,139,25,39,106,55
Mymensingh DistrictMay 2017,Mymensingh District,May 2017,71,2,358,201,3605,5696,155,279,409,264,133,1645,151,130,34,178,179,243
Netrokona DistrictMay 2017,Netrokona District,May 2017,83,38,102,35,1842,5250,87,1221,1803,2776,36,965,80,150,66,199,131,122
Mymensingh DivisionMay 2017,Mymensingh Division,May 2017,344,231,723,379,8805,16886,1113,4558,5947,12488,276,3513,671,583,434,533,486,565
Jamalpur DistrictJune 2017,Jamalpur District,June 2017,265,213,284,81,2455,4662,814,2331,3001,8886,9,598,357,169,285,127,81,159
Sherpur DistrictJune 2017,Sherpur District,June 2017,712,443,694,153,263,1197,336,537,631,826,331,548,18,18,73,11,9,13
Mymensingh DistrictJune 2017,Mymensingh District,June 2017,73,0,307,122,3625,5217,67,358,409,281,32,1514,102,90,16,106,144,176
Netrokona DistrictJune 2017,Netrokona District,June 2017,45,0,104,12,1216,4968,52,1176,1748,2558,29,565,52,127,33,106,89,84
Mymensingh DivisionJune 2017,Mymensingh Division,June 2017,1095,656,1389,368,7559,16044,1269,4402,5789,12551,401,3225,529,404,407,350,323,432
Jamalpur DistrictJuly 2017,Jamalpur District,July 2017,257,241,288,142,3223,4357,621,2449,3126,9017,45,740,168,125,289,128,94,123
Sherpur DistrictJuly 2017,Sherpur District,July 2017,406,240,374,181,437,1097,484,478,690,898,97,207,4,17,3,13,20,25
Mymensingh DistrictJuly 2017,Mymensingh District,July 2017,80,2,332,207,4169,5810,214,159,243,274,204,1452,103,173,40,162,166,187
Netrokona DistrictJuly 2017,Netrokona District,July 2017,59,0,126,37,1341,5858,41,1407,1935,3343,49,876,66,155,43,119,110,119
Mymensingh DivisionJuly 2017,Mymensingh Division,July 2017,802,483,1120,567,9170,17122,1360,4493,5994,13532,395,3275,341,470,375,422,390,454
Jamalpur DistrictAugust 2017,Jamalpur District,August 2017,79,24,201,136,3809,5320,571,2519,3344,8070,115,484,93,117,57,170,88,108
Sherpur DistrictAugust 2017,Sherpur District,August 2017,692,344,82,63,1097,2846,6,527,577,1256,1509,243,124,249,44,110,112,157
Mymensingh DistrictAugust 2017,Mymensingh District,August 2017,102,0,339,205,3700,6888,71,925,1075,2369,78,1704,79,151,52,103,155,159
Netrokona DistrictAugust 2017,Netrokona District,August 2017,91,22,92,35,1421,6688,843,1210,1683,3068,1048,808,55,142,84,105,107,98
Mymensingh DivisionAugust 2017,Mymensingh Division,August 2017,964,390,714,439,10027,21742,1491,5181,6679,14763,2750,3239,351,659,237,488,462,522
Jamalpur DistrictSeptember 2017,Jamalpur District,September 2017,204,162,290,144,3773,4319,464,2077,2582,7168,23,503,96,123,283,106,52,147
Sherpur DistrictSeptember 2017,Sherpur District,September 2017,150,0,60,50,1151,3011,366,888,808,929,406,481,13,207,29,93,79,135
