Sl no,District,Month,No. of Female patient (Indoor admission),No. of Child patient (Indoor admission),No. of BCC,BCC performed by SACMO,"Counseling on IYCF, IFA, Vitamin-A & Hand washing",Received IFA (Pregnant & Child mother),Received MNP Sachet (6-23 months),Breast feeding within 1-hour of birth (0-<6 months child),Exclusive Breast feeding up to 6 months,Complimentary feeding after 6 months,Feeding Tablet Vitamin A (6-59months Child),Received Tablet anti-helminthics (24-59months Child),Feeding Zink pill with ORS suffering form diarrhoea,Identifying Suffering from MAM,Suffering from SAM & Referred,Identifying Child Stunting,Identifying Child Wasting,Identifying Child Under weight
Khulna DistrictFebruary 2017,Khulna District,February 2017,205,232,623,74,6096,5046,50,432,2629,3619,269,776,741,143,27,36,153,163
Bagerhat DistrictFebruary 2017,Bagerhat District,February 2017,5,0,182,105,1217,2592,662,241,416,963,27,453,18,57,15,49,24,36
Satkhira DistrictFebruary 2017,Satkhira District,February 2017,82,0,208,58,3072,5506,1368,2633,4257,14089,0,1527,122,41,8,26,31,43
Khulna DivisionFebruary 2017,Khulna Division,February 2017,937,672,2104,696,23585,40319,3328,10854,17818,40710,659,5847,1138,717,128,332,472,637
Kustia DistrictMarch 2017,Kustia District,March 2017,77,0,225,80,2039,4060,332,651,985,1925,5,701,1964,224,3,13,6,11
Meherpur DistrictMarch 2017,Meherpur District,March 2017,29,0,44,28,1093,1019,0,44,108,252,0,73,13,0,0,1,0,0
Chuadanga DistrictMarch 2017,Chuadanga District,March 2017,0,0,102,77,2488,2899,96,1619,1860,3660,87,682,166,84,12,113,144,215
Jhenaidaha DistrictMarch 2017,Jhenaidaha District,March 2017,35,21,216,129,2201,6638,46,41,77,237,5,466,69,7,3,11,5,2
Magura DistrictMarch 2017,Magura District,March 2017,59,0,157,65,910,2395,4,554,939,2281,0,332,77,78,10,26,35,35
Narail DistrictMarch 2017,Narail District,March 2017,140,1,90,52,2463,4434,1006,2146,2561,9078,4,348,46,35,9,15,16,17
Jessore DistrictMarch 2017,Jessore District,March 2017,458,227,352,65,2644,20220,192,3346,4827,6884,10,705,56,182,47,20,40,31
Khulna DistrictMarch 2017,Khulna District,March 2017,56,56,181,71,5810,7724,157,1189,2619,3778,281,543,747,137,18,50,73,142
Bagerhat DistrictMarch 2017,Bagerhat District,March 2017,8,0,167,109,1447,2618,461,138,381,740,11,477,28,86,16,61,47,90
Satkhira DistrictMarch 2017,Satkhira District,March 2017,27,0,226,59,2410,6132,1643,2956,8585,13464,0,1500,114,70,8,35,30,42
Khulna DivisionMarch 2017,Khulna Division,March 2017,889,305,1760,735,23505,58139,3937,12684,22942,42299,403,5827,3280,903,126,345,396,585
Kustia DistrictApril 2017,Kustia District,April 2017,108,215,264,123,1159,3786,107,565,865,1648,0,411,22,18,6,13,17,11
Meherpur DistrictApril 2017,Meherpur District,April 2017,36,0,62,32,1185,700,0,36,107,258,0,36,18,0,0,0,0,0
Chuadanga DistrictApril 2017,Chuadanga District,April 2017,0,0,88,62,1819,2859,229,1253,1662,3081,71,591,11,121,10,59,56,246
Jhenaidaha DistrictApril 2017,Jhenaidaha District,April 2017,261,27,198,131,2921,3381,25,39,114,119,5,379,11,15,1,9,13,8
Magura DistrictApril 2017,Magura District,April 2017,59,0,164,61,1132,1740,0,613,951,2031,7,167,39,85,9,12,22,23
Narail DistrictApril 2017,Narail District,April 2017,0,0,100,51,4221,4762,904,2102,2461,9443,0,1264,11,47,5,7,9,20
Jessore DistrictApril 2017,Jessore District,April 2017,451,247,294,55,3024,18501,176,3610,4825,6913,1,668,63,155,37,21,19,25
Khulna DistrictApril 2017,Khulna District,April 2017,4,7,169,66,1372,4409,64,547,844,1343,705,556,729,33,4,26,27,54
Bagerhat DistrictApril 2017,Bagerhat District,April 2017,0,0,175,124,1272,3019,123,323,405,726,0,676,117,81,23,64,69,53
Satkhira DistrictApril 2017,Satkhira District,April 2017,60,0,222,81,2446,5582,1634,2790,4385,13810,0,1052,71,45,3,25,21,28
Khulna DivisionApril 2017,Khulna Division,April 2017,979,496,1736,786,20551,48739,3262,11878,16619,39372,789,5800,1092,600,98,236,253,468
Kustia DistrictMay 2017,Kustia District,May 2017,63,0,253,65,1290,3805,84,622,920,1733,14,423,42,199,12,34,47,50
Meherpur DistrictMay 2017,Meherpur District,May 2017,27,8,124,42,589,604,0,6,109,225,0,42,28,0,0,0,0,0
Chuadanga DistrictMay 2017,Chuadanga District,May 2017,0,0,103,71,2044,2899,43,1495,1826,3284,74,452,122,138,30,49,64,187
Jhenaidaha DistrictMay 2017,Jhenaidaha District,May 2017,41,19,200,617,2452,2866,50,15,0,0,0,271,12,14,2,8,5,5
Magura DistrictMay 2017,Magura District,May 2017,44,0,136,74,726,1799,0,523,990,2265,0,153,5,66,10,18,18,16
Narail DistrictMay 2017,Narail District,May 2017,0,0,74,29,3167,3862,786,1975,2206,7940,29,95,7,86,7,8,15,11
Jessore DistrictMay 2017,Jessore District,May 2017,438,267,307,87,2652,21859,168,3733,4714,6960,28,586,49,127,42,13,15,19
Khulna DistrictMay 2017,Khulna District,May 2017,2,2,185,110,1210,3450,183,487,581,1034,249,686,315,23,9,34,69,113
Bagerhat DistrictMay 2017,Bagerhat District,May 2017,0,0,163,98,1237,2143,58,274,441,752,37,267,22,89,18,77,36,92
Satkhira DistrictMay 2017,Satkhira District,May 2017,87,0,229,69,2493,6117,1352,2793,4290,14458,0,1249,39,42,7,26,25,36
Khulna DivisionMay 2017,Khulna Division,May 2017,702,296,1774,1262,17860,49404,2724,11923,16077,38651,431,4224,641,784,137,267,294,529
Kustia DistrictJune 2017,Kustia District,June 2017,29,0,210,38,1616,3510,44,502,705,1554,0,398,49,193,14,16,48,40
Meherpur DistrictJune 2017,Meherpur District,June 2017,11,0,62,16,509,515,0,54,49,101,0,66,31,0,0,0,0,0
Chuadanga DistrictJune 2017,Chuadanga District,June 2017,0,5,84,46,2838,2313,42,1420,1887,3851,27,448,137,179,20,21,22,37
Jhenaidaha DistrictJune 2017,Jhenaidaha District,June 2017,19,19,273,23,1700,2729,106,30,156,193,0,243,16,4,2,7,0,0
Magura DistrictJune 2017,Magura District,June 2017,42,0,122,65,1082,1644,0,481,886,2535,0,123,14,82,8,5,9,12
Narail DistrictJune 2017,Narail District,June 2017,0,0,121,28,3559,3233,648,1847,2431,7874,2,71,4,43,7,14,12,18
Jessore DistrictJune 2017,Jessore District,June 2017,317,270,277,26,3553,18094,159,3130,4141,6471,7,530,40,151,26,25,22,24
Khulna DistrictJune 2017,Khulna District,June 2017,13,59,156,23,1462,3797,108,526,753,1358,282,799,304,23,10,45,54,103
Bagerhat DistrictJune 2017,Bagerhat District,June 2017,3,1,247,96,1130,2841,75,150,369,530,2,470,19,73,20,46,57,70
Satkhira DistrictJune 2017,Satkhira District,June 2017,3,0,673,87,2370,4750,1237,2882,4526,13740,0,1252,27,61,6,66,63,74
Khulna DivisionJune 2017,Khulna Division,June 2017,437,354,2225,448,19819,43426,2419,11022,15903,38207,320,4400,641,809,113,245,287,378
Kustia DistrictJuly 2017,Kustia District,July 2017,24,0,233,57,1915,3664,64,603,826,1561,2,618,24,216,15,24,45,35
Meherpur DistrictJuly 2017,Meherpur District,July 2017,35,0,42,40,787,566,0,54,105,101,0,90,16,0,0,0,0,0
Chuadanga DistrictJuly 2017,Chuadanga District,July 2017,50,0,102,86,2344,2514,111,1507,1958,3584,81,596,179,119,11,59,68,254
Jhenaidaha DistrictJuly 2017,Jhenaidaha District,July 2017,17,0,232,54,1976,3346,316,9,0,145,0,178,12,8,1,8,12,6
Magura DistrictJuly 2017,Magura District,July 2017,51,0,167,52,1545,1279,0,470,787,1799,12,123,19,60,4,14,19,23
Narail DistrictJuly 2017,Narail District,July 2017,0,0,108,39,4820,2351,636,1837,2298,8960,0,118,4,42,5,8,10,16
Jessore DistrictJuly 2017,Jessore District,July 2017,421,271,292,61,3636,23891,258,2587,4117,6374,26,633,56,86,20,24,46,25
Khulna DistrictJuly 2017,Khulna District,July 2017,13,7,174,127,1709,5018,761,880,847,1510,24,836,370,22,5,48,55,94
Bagerhat DistrictJuly 2017,Bagerhat District,July 2017,5,0,151,109,1224,3082,857,394,439,656,65,533,152,69,11,77,57,102
Satkhira DistrictJuly 2017,Satkhira District,July 2017,55,0,779,63,2522,5977,1081,2805,4474,14236,20,957,9,43,5,35,31,37
Khulna DivisionJuly 2017,Khulna Division,July 2017,671,278,2280,688,22478,51688,4084,11146,15851,38926,230,4682,841,665,77,297,343,592
Kustia DistrictAugust 2017,Kustia District,August 2017,537,219,223,88,1916,4368,50,647,869,1556,8,466,16,178,5,28,50,58
Meherpur DistrictAugust 2017,Meherpur District,August 2017,15,0,64,16,970,693,0,51,100,213,6,97,9,0,0,0,0,0
Chuadanga DistrictAugust 2017,Chuadanga District,August 2017,42,0,108,76,1602,2692,44,1747,2068,3982,30,848,159,166,11,32,60,175
Jhenaidaha DistrictAugust 2017,Jhenaidaha District,August 2017,22,22,232,139,2329,2980,103,72,106,163,0,163,7,8,7,5,6,8
Magura DistrictAugust 2017,Magura District,August 2017,59,0,160,59,1074,1549,0,468,886,2207,375,79,20,43,6,17,14,17
Narail DistrictAugust 2017,Narail District,August 2017,35,0,147,58,4187,2578,903,1882,2404,8595,684,146,7,48,5,14,13,21
Jessore DistrictAugust 2017,Jessore District,August 2017,391,278,320,71,3264,46663,137,2617,4055,5896,19356,472,19,58,24,12,18,18
Khulna DistrictAugust 2017,Khulna District,August 2017,12,4,172,121,1869,4922,847,918,737,1251,0,788,696,30,4,55,64,99
Bagerhat DistrictAugust 2017,Bagerhat District,August 2017,0,0,146,113,1346,2420,82,303,342,623,0,686,75,62,15,148,40,84
Satkhira DistrictAugust 2017,Satkhira District,August 2017,0,0,125,70,2944,5115,868,2796,4484,13685,35,992,34,50,6,29,30,40
Khulna DivisionAugust 2017,Khulna Division,August 2017,1113,523,1697,811,21501,73980,3034,11501,16051,38171,20494,4737,1042,643,83,340,295,520
Kustia DistrictSeptember 2017,Kustia District,September 2017,699,147,228,80,1405,3961,57,678,980,1762,0,588,31,204,7,27,59,55
Meherpur DistrictSeptember 2017,Meherpur District,September 2017,53,3,281,112,992,1494,12,28,58,115,16,205,0,0,0,0,0,0
Chuadanga DistrictSeptember 2017,Chuadanga District,September 2017,55,0,88,77,2305,2410,396,1643,2171,4029,62,740,227,155,15,37,53,158
Jhenaidaha DistrictSeptember 2017,Jhenaidaha District,September 2017,22,21,176,54,2476,3475,100,53,108,178,0,97,9,15,7,8,8,10
Magura DistrictSeptember 2017,Magura District,September 2017,57,0,142,83,734,1533,14,489,818,2187,0,69,14,59,6,10,11,16
Narail DistrictSeptember 2017,Narail District,September 2017,0,0,113,47,3889,3288,744,1941,2699,8334,0,73,3,30,7,17,7,25
Jessore DistrictSeptember 2017,Jessore District,September 2017,314,252,293,60,2497,19952,166,2537,4109,6330,26,323,8,87,34,23,32,26
Khulna DistrictSeptember 2017,Khulna District,September 2017,11,3,165,101,1313,5114,542,991,1140,2011,0,474,308,27,11,49,66,90
Bagerhat DistrictSeptember 2017,Bagerhat District,September 2017,4,0,145,142,1374,2123,131,198,294,545,36,506,44,56,15,47,35,41
Satkhira DistrictSeptember 2017,Satkhira District,September 2017,4,0,178,58,2651,5990,634,2727,4708,13954,84,1154,20,80,10,27,20,34
Khulna DivisionSeptember 2017,Khulna Division,September 2017,1219,426,1809,814,19636,49340,2796,11285,17085,39445,224,4229,664,713,112,245,291,455
Kustia DistrictOctober 2017,Kustia District,October 2017,65,214,229,275,2637,4400,24,688,866,1719,36,582,48,209,12,23,39,44
Meherpur DistrictOctober 2017,Meherpur District,October 2017,86,16,104,20,1559,1747,656,56,133,210,5,247,34,11,2,3,7,5
Chuadanga DistrictOctober 2017,Chuadanga District,October 2017,58,0,107,84,1654,2405,337,1438,1879,4002,33,746,48,274,35,90,66,326
Jhenaidaha DistrictOctober 2017,Jhenaidaha District,October 2017,82,120,282,115,2933,2422,92,25,2,2,0,77,0,222,87,85,110,35
Magura DistrictOctober 2017,Magura District,October 2017,63,0,143,92,1560,1625,24,463,714,1651,120,65,17,35,13,8,12,24
Narail DistrictOctober 2017,Narail District,October 2017,0,0,109,53,3663,3630,609,2137,2565,8185,0,57,0,47,9,29,32,40
Jessore DistrictOctober 2017,Jessore District,October 2017,266,190,306,62,2296,9156,141,2370,3735,5984,0,253,11,50,36,23,17,20
Khulna DistrictOctober 2017,Khulna District,October 2017,7,4,181,141,1351,4872,489,921,872,1838,29,662,306,30,12,62,79,121
Bagerhat DistrictOctober 2017,Bagerhat District,October 2017,3,0,175,127,1684,2315,327,321,328,637,112,829,90,96,21,74,44,88
Satkhira DistrictOctober 2017,Satkhira District,October 2017,53,0,226,76,3061,6498,693,2884,4650,14692,47,1304,43,78,12,48,53,66
Khulna DivisionOctober 2017,Khulna Division,October 2017,683,544,1862,1045,22398,39070,3392,11303,15744,38920,382,4822,597,1052,239,445,459,769
Kustia DistrictNovember 2017,Kustia District,November 2017,66,0,231,75,2268,3477,13,712,973,1617,0,602,22,260,15,16,24,29
Meherpur DistrictNovember 2017,Meherpur District,November 2017,0,0,53,10,560,1085,0,82,110,146,0,163,23,0,0,0,0,0
Chuadanga DistrictNovember 2017,Chuadanga District,November 2017,0,0,129,81,1440,2436,365,1571,2080,4644,32,722,59,172,41,71,85,335
Jhenaidaha DistrictNovember 2017,Jhenaidaha District,November 2017,49,22,253,113,2356,3290,44,17,0,0,5,37,23,61,52,151,73,59
Magura DistrictNovember 2017,Magura District,November 2017,58,0,143,49,1086,1578,0,531,852,1696,0,50,20,59,12,14,12,25
Narail DistrictNovember 2017,Narail District,November 2017,0,0,92,59,4659,3130,957,2156,2636,9046,132,22,5,48,8,17,15,22
Jessore DistrictNovember 2017,Jessore District,November 2017,259,160,333,94,2415,11100,153,2897,4346,7055,0,230,18,86,51,51,47,72
Khulna DistrictNovember 2017,Khulna District,November 2017,5,1,178,142,1363,4906,567,1041,935,1686,102,687,320,28,3,47,47,83
Bagerhat DistrictNovember 2017,Bagerhat District,November 2017,284,0,179,107,1120,2500,114,304,439,561,0,639,23,81,14,63,53,79
Satkhira DistrictNovember 2017,Satkhira District,November 2017,65,64,212,80,2647,6152,1222,2970,4794,14623,80,1068,13,56,8,43,62,66
Khulna DivisionNovember 2017,Khulna Division,November 2017,786,247,1803,810,19914,39654,3435,12281,17165,41074,351,4220,526,851,204,473,418,770
Kustia DistrictDecember 2017,Kustia District,December 2017,477,251,243,70,1368,3399,34,604,799,1576,82,597,19,194,4,17,27,47
Meherpur DistrictDecember 2017,Meherpur District,December 2017,39,0,33,12,1922,1156,123,81,81,128,0,85,0,12,6,5,4,5
Chuadanga DistrictDecember 2017,Chuadanga District,December 2017,48,48,119,84,1365,1557,363,1493,2084,4138,16,602,60,162,30,66,64,331
Jhenaidaha DistrictDecember 2017,Jhenaidaha District,December 2017,50,20,196,100,2349,3729,56,17,0,0,145,58,20,22,5,20,13,21
Magura DistrictDecember 2017,Magura District,December 2017,0,0,131,80,1425,1508,37,524,753,1334,422,30,0,44,7,4,8,11
Narail DistrictDecember 2017,Narail District,December 2017,0,0,94,36,3637,1736,745,2018,2701,9361,150,25,0,31,6,12,14,25
Jessore DistrictDecember 2017,Jessore District,December 2017,225,162,306,74,2157,8707,71,2734,3790,7348,11036,395,14,92,57,93,84,87
Khulna DistrictDecember 2017,Khulna District,December 2017,3,2,164,145,1660,4943,513,1014,967,1859,368,672,287,16,8,71,84,74
Bagerhat DistrictDecember 2017,Bagerhat District,December 2017,9,0,167,121,1642,2217,165,190,352,645,47,983,33,85,16,64,59,71
Satkhira DistrictDecember 2017,Satkhira District,December 2017,86,0,263,87,2862,5652,955,2931,4819,14251,180,934,39,78,8,43,37,51
Khulna DivisionDecember 2017,Khulna Division,December 2017,937,483,1716,809,20387,34604,3062,11606,16346,40640,12446,4381,472,736,147,395,394,723
